Ganancias horarias promedio (Mensual),Ganancias promedio por hora (Interanual),Promedio de horas semanales,Personas ocupadas,Índice De Costo De Empleo,Employment Cost - Benefits,Employment Cost - Wages,Tasa De Empleo,Trabajadores a tiempo completo,Nóminas gubernamentales,Despidos laborales y despidos,Jolts Vacantes de Empleo,Renuncias laborales informe JOLTs,Tasa de abandonos del trabajo,Ofertas de empleo,Tasa de participación,Salarios,Tasa de desempleo de largo plazo,Nóminas manufactureras,Nóminas no agrícolas,Nóminas privadas no agrícolas,Productividad No Agrícola,Empleo de Tiempo Parcial,Productividad,Tasa de desempleo U-6,Personas desempleadas,Tasa de desempleo,Costes laborales unitarios,Salarios,Salarios en la industria,Tasa de desempleo juvenil, Fecha y hora
0.20,3.80,34.30,163944.00,0.90,1.20,0.80,60.00,135440.00,10.00,1558.00,7192.00,3332.00,2.10,7010.00,62.60,120.64,0.98,-1.00,177.00,167.00,-0.80,28523.00,115.49,7.80,7165.00,4.20,5.70,31.06,28.80,9.60,2025-05-13 13:14:43
0.20,3.80,34.30,163944.00,0.90,1.20,0.80,60.00,135440.00,10.00,1558.00,7192.00,3332.00,2.10,7010.00,62.60,120.64,0.98,-1.00,177.00,167.00,-0.80,28523.00,115.49,7.80,7165.00,4.20,5.70,31.06,28.80,9.60,2025-05-13 13:14:49
0.20,3.80,34.30,163944.00,0.90,1.20,0.80,60.00,135440.00,10.00,1558.00,7192.00,3332.00,2.10,7010.00,62.60,120.64,0.98,-1.00,177.00,167.00,-0.80,28523.00,115.49,7.80,7165.00,4.20,5.70,31.06,28.80,9.60,2025-05-13 18:17:26
0.20,3.80,34.30,163944.00,0.90,1.20,0.80,60.00,135440.00,10.00,1558.00,7192.00,3332.00,2.10,7010.00,62.60,120.64,0.98,-1.00,177.00,167.00,-0.80,28523.00,115.49,7.80,7165.00,4.20,5.70,31.06,28.80,9.60,2025-05-14 12:27:01
0.20,3.80,34.30,163944.00,0.90,1.20,0.80,60.00,135440.00,10.00,1558.00,7192.00,3332.00,2.10,7010.00,62.60,120.64,0.98,-1.00,177.00,167.00,-0.80,28523.00,115.49,7.80,7165.00,4.20,5.70,31.06,28.80,9.60,2025-05-15 12:27:05
0.20,3.80,34.30,163944.00,0.90,1.20,0.80,60.00,135440.00,10.00,1558.00,7192.00,3332.00,2.10,7010.00,62.60,120.64,0.98,-1.00,177.00,167.00,-0.80,28523.00,115.49,7.80,7165.00,4.20,5.70,31.06,28.80,9.60,2025-05-16 12:27:35
0.20,3.80,34.30,163944.00,0.90,1.20,0.80,60.00,135440.00,10.00,1558.00,7192.00,3332.00,2.10,7010.00,62.60,120.64,0.98,-1.00,177.00,167.00,-0.80,28523.00,115.49,7.80,7165.00,4.20,5.70,31.06,28.80,9.60,2025-05-17 12:23:58
0.20,3.80,34.30,163944.00,0.90,1.20,0.80,60.00,135440.00,10.00,1558.00,7192.00,3332.00,2.10,7010.00,62.60,120.64,0.98,-1.00,177.00,167.00,-0.80,28523.00,115.49,7.80,7165.00,4.20,5.70,31.06,28.80,9.60,2025-05-18 12:23:55
0.20,3.80,34.30,163944.00,0.90,1.20,0.80,60.00,135440.00,10.00,1558.00,7192.00,3332.00,2.10,7010.00,62.60,120.64,0.98,-1.00,177.00,167.00,-0.80,28523.00,115.49,7.80,7165.00,4.20,5.70,31.06,28.80,9.60,2025-05-19 12:28:15
0.20,3.80,34.30,163944.00,0.90,1.20,0.80,60.00,135440.00,10.00,1558.00,7192.00,3332.00,2.10,7010.00,62.60,120.64,0.98,-1.00,177.00,167.00,-0.80,28523.00,115.49,7.80,7165.00,4.20,5.70,31.06,28.80,9.60,2025-05-20 12:28:17
0.20,3.80,34.30,163944.00,0.90,1.20,0.80,60.00,135440.00,10.00,1558.00,7192.00,3332.00,2.10,7010.00,62.60,120.64,0.98,-1.00,177.00,167.00,-0.80,28523.00,115.49,7.80,7165.00,4.20,5.70,31.06,28.80,9.60,2025-05-21 12:27:46
0.20,3.80,34.30,163944.00,0.90,1.20,0.80,60.00,135440.00,10.00,1558.00,7192.00,3332.00,2.10,7010.00,62.60,120.64,0.98,-1.00,177.00,167.00,-0.80,28523.00,115.49,7.80,7165.00,4.20,5.70,31.06,28.80,9.60,2025-05-22 12:28:24
